date,treatment,tr,pot,pot_id,sensor_serial,soil_co2_ppm
2022-08-06,100 t/ha,100,A,100.A,2CF7F12021000274,407.8
2022-08-08,100 t/ha,100,A,100.A,2CF7F12021000274,3681.0
2022-08-09,100 t/ha,100,A,100.A,2CF7F12021000274,5684.3
2022-08-10,100 t/ha,100,A,100.A,2CF7F12021000274,5643.5
2022-08-11,100 t/ha,100,A,100.A,2CF7F12021000274,5740.0
2022-08-12,100 t/ha,100,A,100.A,2CF7F12021000274,5921.0
2022-08-13,100 t/ha,100,A,100.A,2CF7F12021000274,5966.3
2022-08-14,100 t/ha,100,A,100.A,2CF7F12021000274,6495.8
2022-08-15,100 t/ha,100,A,100.A,2CF7F12021000274,6805.3
2022-08-16,100 t/ha,100,A,100.A,2CF7F12021000274,6488.7
2022-08-17,100 t/ha,100,A,100.A,2CF7F12021000274,6494.1
2022-08-18,100 t/ha,100,A,100.A,2CF7F12021000274,6804.0
2022-08-19,100 t/ha,100,A,100.A,2CF7F12021000274,6273.0
2022-08-20,100 t/ha,100,A,100.A,2CF7F12021000274,6878.2
2022-08-21,100 t/ha,100,A,100.A,2CF7F12021000274,7607.0
2022-08-22,100 t/ha,100,A,100.A,2CF7F12021000274,6806.8
2022-08-23,100 t/ha,100,A,100.A,2CF7F12021000274,6568.0
2022-08-24,100 t/ha,100,A,100.A,2CF7F12021000274,6673.7
2022-08-25,100 t/ha,100,A,100.A,2CF7F12021000274,7001.3
2022-08-26,100 t/ha,100,A,100.A,2CF7F12021000274,5909.1
2022-08-27,100 t/ha,100,A,100.A,2CF7F12021000274,8712.1
2022-08-28,100 t/ha,100,A,100.A,2CF7F12021000274,12681.1
2022-08-29,100 t/ha,100,A,100.A,2CF7F12021000274,9385.8
2022-08-30,100 t/ha,100,A,100.A,2CF7F12021000274,6584.3
2022-08-31,100 t/ha,100,A,100.A,2CF7F12021000274,6294.0
2022-09-01,100 t/ha,100,A,100.A,2CF7F12021000274,8521.4
2022-09-02,100 t/ha,100,A,100.A,2CF7F12021000274,5869.5
2022-09-03,100 t/ha,100,A,100.A,2CF7F12021000274,4889.2
2022-09-04,100 t/ha,100,A,100.A,2CF7F12021000274,7057.5
2022-09-05,100 t/ha,100,A,100.A,2CF7F12021000274,8193.1
2022-09-06,100 t/ha,100,A,100.A,2CF7F12021000274,8265.1
2022-09-07,100 t/ha,100,A,100.A,2CF7F12021000274,8528.0
2022-09-08,100 t/ha,100,A,100.A,2CF7F12021000274,9419.5
2022-09-09,100 t/ha,100,A,100.A,2CF7F12021000274,9374.0
2022-09-10,100 t/ha,100,A,100.A,2CF7F12021000274,9725.2
2022-09-11,100 t/ha,100,A,100.A,2CF7F12021000274,10334.8
2022-09-12,100 t/ha,100,A,100.A,2CF7F12021000274,9818.6
2022-09-13,100 t/ha,100,A,100.A,2CF7F12021000274,8379.0
2022-09-14,100 t/ha,100,A,100.A,2CF7F12021000274,8039.3
2022-09-15,100 t/ha,100,A,100.A,2CF7F12021000274,9669.2
2022-09-16,100 t/ha,100,A,100.A,2CF7F12021000274,9913.5
2022-09-17,100 t/ha,100,A,100.A,2CF7F12021000274,8294.6
2022-09-18,100 t/ha,100,A,100.A,2CF7F12021000274,7986.0
2022-09-19,100 t/ha,100,A,100.A,2CF7F12021000274,6807.3
2022-09-20,100 t/ha,100,A,100.A,2CF7F12021000274,7206.0
2022-09-21,100 t/ha,100,A,100.A,2CF7F12021000274,6863.8
2022-09-22,100 t/ha,100,A,100.A,2CF7F12021000274,5952.4
2022-09-23,100 t/ha,100,A,100.A,2CF7F12021000274,5268.1
2022-09-24,100 t/ha,100,A,100.A,2CF7F12021000274,5193.0
2022-09-25,100 t/ha,100,A,100.A,2CF7F12021000274,5463.0
2022-09-26,100 t/ha,100,A,100.A,2CF7F12021000274,5936.1
2022-09-27,100 t/ha,100,A,100.A,2CF7F12021000274,6039.0
2022-09-28,100 t/ha,100,A,100.A,2CF7F12021000274,5421.5
2022-09-29,100 t/ha,100,A,100.A,2CF7F12021000274,5423.7
2022-09-30,100 t/ha,100,A,100.A,2CF7F12021000274,5274.4
2022-10-01,100 t/ha,100,A,100.A,2CF7F12021000274,4862.3
2022-10-02,100 t/ha,100,A,100.A,2CF7F12021000274,5413.4
2022-10-03,100 t/ha,100,A,100.A,2CF7F12021000274,5626.0
2022-10-04,100 t/ha,100,A,100.A,2CF7F12021000274,5507.9
2022-10-05,100 t/ha,100,A,100.A,2CF7F12021000274,5234.3
2022-10-06,100 t/ha,100,A,100.A,2CF7F12021000274,4718.8
2022-10-07,100 t/ha,100,A,100.A,2CF7F12021000274,4086.5
2022-10-08,100 t/ha,100,A,100.A,2CF7F12021000274,4409.6
2022-10-09,100 t/ha,100,A,100.A,2CF7F12021000274,3079.6
2022-10-10,100 t/ha,100,A,100.A,2CF7F12021000274,3102.6
2022-10-11,100 t/ha,100,A,100.A,2CF7F12021000274,3629.7
2022-10-12,100 t/ha,100,A,100.A,2CF7F12021000274,3492.6
2022-10-13,100 t/ha,100,A,100.A,2CF7F12021000274,3107.6
2022-10-14,100 t/ha,100,A,100.A,2CF7F12021000274,3359.8
2022-10-15,100 t/ha,100,A,100.A,2CF7F12021000274,3724.0
2022-10-16,100 t/ha,100,A,100.A,2CF7F12021000274,4272.0
2022-10-17,100 t/ha,100,A,100.A,2CF7F12021000274,4092.1
2022-10-18,100 t/ha,100,A,100.A,2CF7F12021000274,4051.0
2022-10-19,100 t/ha,100,A,100.A,2CF7F12021000274,4192.7
2022-10-20,100 t/ha,100,A,100.A,2CF7F12021000274,3366.8
2022-10-21,100 t/ha,100,A,100.A,2CF7F12021000274,3728.6
2022-10-22,100 t/ha,100,A,100.A,2CF7F12021000274,4130.4
2022-10-23,100 t/ha,100,A,100.A,2CF7F12021000274,3657.3
2022-10-24,100 t/ha,100,A,100.A,2CF7F12021000274,3888.5
2022-10-25,100 t/ha,100,A,100.A,2CF7F12021000274,3983.4
2022-10-26,100 t/ha,100,A,100.A,2CF7F12021000274,3868.1
2022-10-27,100 t/ha,100,A,100.A,2CF7F12021000274,3624.8
2022-10-28,100 t/ha,100,A,100.A,2CF7F12021000274,3678.2
2022-10-29,100 t/ha,100,A,100.A,2CF7F12021000274,3705.0
2022-10-30,100 t/ha,100,A,100.A,2CF7F12021000274,3593.6
2022-10-31,100 t/ha,100,A,100.A,2CF7F12021000274,3247.9
2022-11-01,100 t/ha,100,A,100.A,2CF7F12021000274,3003.0
2022-11-02,100 t/ha,100,A,100.A,2CF7F12021000274,2527.2
2022-11-03,100 t/ha,100,A,100.A,2CF7F12021000274,2169.2
2022-11-04,100 t/ha,100,A,100.A,2CF7F12021000274,2357.1
2022-11-05,100 t/ha,100,A,100.A,2CF7F12021000274,2525.1
2022-11-06,100 t/ha,100,A,100.A,2CF7F12021000274,2153.7
2022-11-07,100 t/ha,100,A,100.A,2CF7F12021000274,2326.2
2022-11-08,100 t/ha,100,A,100.A,2CF7F12021000274,2082.2
2022-11-09,100 t/ha,100,A,100.A,2CF7F12021000274,2268.6
