variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-06-20,36,2097.776029631086,36.0,39.099999999999994,17.861111111111114,37.2,,19.69490695922504,19.69490695922504,0.0879393310623909,0.0086675316036853,13.4370837530722,13.4370837530722,0.0599976511247751,0.0059135261888895,19.69490695922504,19.69490695922504,0.0879393310623909,0.0086675316036853
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-05,51,1950.2761525476503,15.0,8.4,21.12666666666667,13.4,,19.69490695922504,39.38981391845008,0.2110543945497382,0.0173350632073706,11.688847219702666,25.125930972774867,0.1252599252205763,0.0110576709618084,19.69490695922504,39.38981391845008,0.2110543945497382,0.0173350632073706
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-18,64,3081.1085435206583,13.0,5.1,18.661538461538463,3.1999999999999997,,37.944686496559825,77.3345004150099,0.469179838736076,0.0340341402876417,25.04349308772949,50.169424060504355,0.3096586935658101,0.0220790618347873,37.944686496559825,77.3345004150099,0.469179838736076,0.0340341402876417
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-01,78,4211.940934493666,14.0,8.1,22.73571428571429,8.0,,54.98346540102568,132.31796581603558,0.6313000120403738,0.0582318135759791,98.5552681716498,148.72469223215415,1.1315754932799151,0.0654522498044487,54.98346540102568,132.31796581603558,0.6313000120403738,0.0582318135759791
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-16,93,4916.662569447858,15.0,2.4,22.246666666666663,2.8000000000000007,,9.688005062951444,142.00597087898703,0.1038185175075572,0.0624954077241333,30.275015821723255,178.99970805387744,0.3244328672111163,0.0787759815174309,9.688005062951444,142.00597087898703,0.1038185175075572,0.0624954077241333
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-30,107,4933.051444679351,14.0,77.0,20.00714285714286,29.000000000000004,,267.3082063619353,409.3141772409223,3.069134923817161,0.1801350762619574,494.1151693356985,673.1148773895759,5.673249404631721,0.2962311263903784,510.3156666909673,652.3216375699543,5.859257581832761,0.2870802294781612
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-09-13,121,5457.495452087123,14.0,34.8,17.264285714285716,21.4,,40.326321074535386,449.6404983154577,0.4630120490627217,0.1978822869036497,53.76842809938052,726.8833054889565,0.6173493987502957,0.3198940739126348,40.326321074535386,692.6479586444897,0.4630120490627217,0.3048274401198534
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-10-11,149,5391.939951161152,28.0,82.9,10.832142857142856,76.6,,46.482240958285786,496.12273927374343,0.2668460332811432,0.2183386563269817,95.17792196220424,822.0612274511607,0.5463990205280551,0.3617809255889813,46.482240958285786,739.1301996027755,0.2668460332811432,0.3252838095431855
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-11-15,184,5080.551321762787,35.0,39.5,11.151428571428571,36.6,,137.65040526943508,633.7731445431785,0.6321806155370894,0.2789172231820074,116.79428325891465,938.8555107100754,0.5363956737890457,0.413180921708397,137.65040526943508,876.7806048722106,0.6321806155370894,0.3858623763982111
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-12-12,211,3818.6079289378367,27.0,44.30000000000001,2.8000000000000003,39.0,,56.43262949169217,690.2057740348707,0.3359682580452893,0.3037526590950062,175.5681806408201,1114.4236913508953,1.045234580585345,0.4904467223266154,225.73051796676867,1102.5111228389792,1.3438730321811574,0.4852041200502063
