variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-06-20,Al,ion,umol/l,1.1118523460084502,False,0.03,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Ca,ion,umol/l,1821.4481760566896,False,73,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Cl,ion,umol/l,789.7780159647983,False,28,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,DOC,ion,umol/l,765.9645325118641,False,9.2,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,EC_field_uS_per_cm_25degC,direct,uS/cm,530.0,False,530,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,EC_lab_uS_per_cm_25degC,direct,uS/cm,532.0,False,532,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Fe,ion,umol/l,0.12534694242994,False,0.007,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,HCO3,ion,umol/l,2097.776029631086,False,128,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,HCO3_hardness_dH,direct,dH,5.8,False,5.8,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,K,ion,umol/l,358.074581820042,False,14,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Kb8.2_mmol_per_l,direct,mmol/l,0.21,False,0.21,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Ks4.3_mmol_per_l,direct,mmol/l,2.1,False,2.1,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Mg,ion,umol/l,493.7255708701913,False,12,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,NO2,ion,umol/l,0.0,True,"<0,05",,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,NO3,ion,umol/l,1580.5431907618863,False,98,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Na,ion,umol/l,187.0378425402349,False,4.3,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,O2_mg_per_l,direct,mg/l,8.5,False,8.5,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,SO4,ion,umol/l,333.12513012700396,False,32,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,Si,ion,umol/l,210.0690735597807,False,5.9,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,pH_field,direct,pH,6.72,False,6.72,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,pH_lab,direct,pH,7.07,False,7.07,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,sum_anions_meq_per_l,direct,meq/l,5.08440487806089,False,5.08440487806089,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,sum_cations_meq_per_l,direct,meq/l,5.18291800476879,False,5.18291800476879,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,temp_air_degC,direct,degC,25.0,False,25,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,temp_pH_lab_degC,direct,degC,18.4,False,18.4,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-06-20,temp_water_field_degC,direct,degC,19.7,False,19.7,,AP2232173,CDIFUE21_AB2207723.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,36
000.A,2022-07-05,Al,ion,umol/l,0.0,True,"<0,02",4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Ca,ion,umol/l,2245.6210389740004,False,90,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Cl,ion,umol/l,1241.0797393732546,False,44,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,DOC,ion,umol/l,782.6159353925569,False,9.4,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,EC_field_uS_per_cm_25degC,direct,uS/cm,650.0,False,650,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,EC_lab_uS_per_cm_25degC,direct,uS/cm,659.0,False,659,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Fe,ion,umol/l,0.16116035455278,False,0.009,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,HCO3,ion,umol/l,1950.2761525476503,False,119,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,HCO3_hardness_dH,direct,dH,5.46,False,5.46,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,K,ion,umol/l,409.2280935086194,False,16,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Kb8.2_mmol_per_l,direct,mmol/l,0.26,False,0.26,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Ks4.3_mmol_per_l,direct,mmol/l,2.0,False,2,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Mg,ion,umol/l,576.0131660152232,False,14,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,NO2,ion,umol/l,0.0,True,"<0,05",4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,NO3,ion,umol/l,1935.3590090961875,False,120,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Na,ion,umol/l,304.4802087864289,False,7,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,O2_mg_per_l,direct,mg/l,7.8,False,7.8,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,SO4,ion,umol/l,582.9689777222569,False,56,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Si,ion,umol/l,249.23449405397707,False,7,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,pH_field,direct,pH,6.93,False,6.93,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
