variant,date,treatment,replicate,volume_pumped,volume_avgBD,volume_dumpmodel,dump_volume_l,volume_source
000.A,2022-06-20,000,A,3.81171875,2.6005903045363277,3.81171875,0.0,estimated_export_interp
000.A,2022-07-05,000,A,4.1,2.433333333333333,4.1,0.0,xlsx_bemerkung
000.A,2022-07-18,000,A,5.0,3.3000000000000003,5.0,0.0,xlsx_bemerkung
000.A,2022-08-01,000,A,5.3,9.5,5.3,0.0,xlsx_bemerkung
000.A,2022-08-16,000,A,0.8,2.5,0.8,0.0,xlsx_bemerkung
000.A,2022-08-30,000,A,22.0,40.666666666666664,42.0,20.0,xlsx_bemerkung
000.A,2022-09-13,000,A,3.0,4.0,3.0,0.0,xlsx_bemerkung
000.A,2022-10-11,000,A,3.5,7.166666666666667,3.5,0.0,xlsx_bemerkung
000.A,2022-11-15,000,A,11.0,9.333333333333334,11.0,0.0,xlsx_bemerkung
000.A,2022-12-12,000,A,6.0,18.666666666666668,24.0,18.0,xlsx_bemerkung
000.A,2023-01-17,000,A,6.0,22.0,14.0,8.0,xlsx_bemerkung
000.A,2023-02-14,000,A,4.0,14.666666666666666,16.0,12.0,xlsx_bemerkung
000.A,2023-03-13,000,A,9.0,11.166666666666666,9.0,0.0,xlsx_bemerkung
000.A,2023-04-17,000,A,7.0,14.166666666666666,14.0,7.0,xlsx_bemerkung
000.A,2023-05-16,000,A,3.0,3.0,3.0,0.0,notebook_gapfill
000.A,2023-06-20,000,A,1.5,3.1,1.5,0.0,xlsx_bemerkung
000.A,2023-12-05,000,A,27.0,31.333333333333332,27.0,0.0,xlsx_bemerkung
000.A,2024-05-16,000,A,81.0,85.33333333333333,155.0,74.0,xlsx_bemerkung
000.A,2024-08-29,000,A,15.5,24.333333333333332,15.5,0.0,xlsx_bemerkung
000.A,2024-12-10,000,A,34.5,45.0,34.5,0.0,xlsx_bemerkung
000.A,2025-02-19,000,A,4.5,32.166666666666664,33.5,29.0,xlsx_bemerkung
000.A,2025-09-24,000,A,31.0,31.0,31.0,0.0,pn_pdf
000.A,2025-12-15,000,A,39.0,39.0,39.0,0.0,field_sheet
000.A,2026-02-25,000,A,55.0,55.0,55.0,0.0,pn_pdf
000.B,2022-06-20,000,B,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.0,estimated_export_interp
000.B,2022-07-05,000,B,1.0,1.0,1.0,0.0,xlsx_bemerkung
000.B,2022-07-18,000,B,4.4,4.4,4.4,0.0,xlsx_bemerkung
000.B,2022-08-01,000,B,10.5,10.5,10.5,0.0,xlsx_bemerkung
000.B,2022-08-16,000,B,2.5,2.5,2.5,0.0,xlsx_bemerkung
000.B,2022-08-30,000,B,44.0,44.0,44.0,0.0,xlsx_bemerkung
000.B,2022-09-13,000,B,6.0,6.0,6.0,0.0,xlsx_bemerkung
000.B,2022-10-11,000,B,8.5,8.5,8.5,0.0,xlsx_bemerkung
000.B,2022-11-15,000,B,9.0,9.0,9.0,0.0,xlsx_bemerkung
000.B,2022-12-12,000,B,19.0,19.0,19.0,0.0,xlsx_bemerkung
000.B,2023-01-17,000,B,22.0,22.0,22.0,0.0,xlsx_bemerkung
000.B,2023-02-14,000,B,14.0,14.0,14.0,0.0,xlsx_bemerkung
000.B,2023-03-13,000,B,11.0,11.0,11.0,0.0,xlsx_bemerkung
000.B,2023-04-17,000,B,14.5,14.5,14.5,0.0,xlsx_bemerkung
000.B,2023-05-16,000,B,3.0,3.0,3.0,0.0,notebook_gapfill
000.B,2023-06-20,000,B,3.0,3.0,3.0,0.0,notebook_gapfill
000.B,2023-09-12,000,B,11.3,11.3,11.3,0.0,xlsx_bemerkung
000.B,2023-12-05,000,B,32.0,32.0,32.0,0.0,xlsx_bemerkung
000.B,2024-05-16,000,B,86.5,86.5,161.5,75.0,xlsx_bemerkung
000.B,2024-08-29,000,B,27.0,27.0,27.0,0.0,xlsx_bemerkung
000.B,2024-12-10,000,B,39.0,39.0,39.0,0.0,xlsx_bemerkung
000.B,2025-02-19,000,B,32.5,32.5,32.5,0.0,xlsx_bemerkung
000.C,2022-06-20,000,C,3.516417910447761,3.516417910447761,3.516417910447761,0.0,estimated_export_interp
000.C,2022-07-05,000,C,3.1,3.1,3.1,0.0,xlsx_bemerkung
000.C,2022-07-18,000,C,3.0,3.0,3.0,0.0,xlsx_bemerkung
000.C,2022-08-01,000,C,10.5,10.5,10.5,0.0,xlsx_bemerkung
