date,rain_daily_mm,temp_mean_C,temp_min_C,temp_max_C,humidity_pct,solar_wm2
2024-07-24,0.0,18.7,13.7,23.8,74,1007.1
2024-07-25,0.0,19.4,10.7,27.0,67,1062.0
2024-07-26,0.2,20.7,13.8,26.8,69,1271.3
2024-07-27,2.4,22.4,17.2,29.9,76,1226.8
2024-07-28,6.7,19.5,12.9,24.9,71,1082.2
2024-07-29,0.0,20.3,11.6,29.3,64,910.7
2024-07-30,0.1,22.2,10.9,33.0,61,1017.0
2024-07-31,5.4,25.2,14.1,35.8,61,880.0
2024-08-01,26.7,21.4,18.4,31.1,86,1329.5
2024-08-02,7.2,19.7,15.4,25.4,84,1017.2
2024-08-03,0.0,21.6,15.0,27.8,74,958.6
2024-08-04,2.5,20.1,17.0,25.0,78,1189.2
2024-08-05,0.2,19.9,16.3,25.7,71,1090.1
2024-08-06,0.1,22.5,12.3,31.8,65,878.7
2024-08-07,0.1,22.5,16.1,29.1,71,1028.4
2024-08-08,0.9,19.4,13.1,25.2,75,1180.6
2024-08-09,0.0,21.5,12.6,28.5,67,896.1
2024-08-10,0.0,23.1,15.4,29.5,65,1132.6
2024-08-11,0.0,22.4,12.8,32.2,67,840.2
2024-08-12,0.0,22.4,15.0,30.0,72,805.4
2024-08-13,0.0,25.7,17.5,35.7,65,802.9
2024-08-14,0.0,25.5,20.7,32.0,63,918.8
2024-08-15,0.0,23.3,18.1,30.4,69,956.6
2024-08-16,0.0,24.0,16.6,31.2,67,1023.8
2024-08-17,2.2,23.2,17.8,29.3,68,990.2
2024-08-18,3.4,19.7,16.1,22.4,87,564.0
2024-08-19,3.8,18.1,14.9,22.9,80,946.1
2024-08-20,0.0,19.4,13.7,24.5,80,885.6
2024-08-21,0.0,17.9,10.8,21.9,68,990.5
2024-08-22,0.0,17.6,10.1,26.1,67,807.2
2024-08-23,0.0,20.4,11.3,29.8,64,763.8
2024-08-24,0.0,24.8,12.6,35.3,57,784.1
2024-08-25,3.2,18.4,11.6,24.9,70,894.4
2024-08-26,0.0,17.3,9.2,24.1,68,957.0
2024-08-27,0.0,20.0,9.8,30.7,66,792.1
2024-08-28,0.0,22.5,12.6,33.7,67,770.2
2024-08-29,0.0,24.8,15.2,35.2,62,764.2
2024-08-30,0.0,24.9,16.2,35.5,62,774.6
2024-08-31,0.0,24.5,17.6,34.0,67,735.7
2024-09-01,0.0,23.8,16.2,33.9,67,759.4
2024-09-02,9.7,20.2,16.1,28.1,83,716.8
2024-09-03,0.0,21.8,16.0,31.6,77,870.6
