date,rain_onsite_mm,rain_onsite_source,rain_official_mm,temp_onsite_C,temp_official_C,rain_onsite_ecowitt_mm,rain_onsite_tipping_mm
2022-01-01,,,0.0,,9.2,,
2022-01-02,,,3.3,,6.5,,
2022-01-03,,,4.0,,8.8,,
2022-01-04,,,14.0,,7.3,,
2022-01-05,,,0.8,,2.6,,
2022-01-06,,,0.0,,1.0,,
2022-01-07,,,2.2,,-1.2,,
2022-01-08,,,4.1,,0.3,,
2022-01-09,,,1.1,,2.1,,
2022-01-10,,,0.0,,1.4,,
2022-01-11,,,0.0,,1.6,,
2022-01-12,,,0.0,,-0.9,,
2022-01-13,,,0.0,,-0.1,,
2022-01-14,,,0.0,,-0.7,,
2022-01-15,,,0.0,,-0.1,,
2022-01-16,,,0.0,,0.3,,
2022-01-17,,,0.6,,2.8,,
2022-01-18,,,0.0,,3.2,,
2022-01-19,,,0.3,,1.9,,
2022-01-20,,,2.0,,1.4,,
2022-01-21,,,0.3,,-0.7,,
2022-01-22,,,0.8,,2.9,,
2022-01-23,,,0.1,,3.4,,
2022-01-24,,,0.0,,2.4,,
2022-01-25,,,0.0,,-1.4,,
2022-01-26,,,0.0,,-0.6,,
2022-01-27,,,0.4,,-0.2,,
2022-01-28,,,0.0,,2.9,,
2022-01-29,,,0.1,,3.9,,
2022-01-30,,,0.0,,4.7,,
2022-01-31,,,6.4,,2.4,,
2022-02-01,,,2.2,,2.2,,
2022-02-02,,,0.2,,4.9,,
2022-02-03,,,0.1,,4.8,,
2022-02-04,,,1.2,,5.6,,
2022-02-05,,,0.0,,2.8,,
2022-02-06,,,11.1,,4.7,,
2022-02-07,,,0.0,,2.8,,
2022-02-08,,,0.1,,4.2,,
2022-02-09,,,0.0,,6.4,,
2022-02-10,,,0.0,,4.1,,
2022-02-11,,,0.2,,3.5,,
2022-02-12,,,0.0,,1.0,,
2022-02-13,,,0.0,,2.5,,
2022-02-14,,,3.0,,5.3,,
2022-02-15,,,0.6,,4.8,,
2022-02-16,,,2.7,,6.5,,
2022-02-17,,,2.5,,9.1,,
2022-02-18,,,0.3,,9.0,,
2022-02-19,,,0.3,,5.3,,
2022-02-20,,,2.5,,6.8,,
2022-02-21,,,0.6,,5.9,,
2022-02-22,,,1.7,,5.2,,
2022-02-23,,,0.0,,5.7,,
2022-02-24,,,0.6,,5.5,,
2022-02-25,,,0.1,,2.6,,
2022-02-26,,,0.0,,2.1,,
2022-02-27,,,0.0,,1.9,,
2022-02-28,,,0.0,,1.4,,
2022-03-01,,,0.0,,0.9,,
2022-03-02,,,0.0,,0.6,,
2022-03-03,,,0.0,,0.9,,
2022-03-04,,,0.0,,0.6,,
2022-03-05,,,0.0,,1.2,,
2022-03-06,,,0.0,,0.8,,
2022-03-07,,,0.0,,-0.2,,
2022-03-08,,,0.0,,0.9,,
2022-03-09,,,0.0,,3.2,,
2022-03-10,,,0.0,,4.7,,
2022-03-11,,,0.0,,3.9,,
2022-03-12,,,0.0,,3.8,,
2022-03-13,,,0.0,,5.9,,
2022-03-14,,,0.4,,4.7,,
2022-03-15,,,7.5,,5.0,,
2022-03-16,,,0.0,,7.5,,
2022-03-17,,,0.0,,7.5,,
2022-03-18,,,0.0,,7.4,,
2022-03-19,,,0.8,,4.4,,
2022-03-20,,,0.0,,7.6,,
2022-03-21,,,0.0,,6.0,,
2022-03-22,,,0.0,,7.0,,
2022-03-23,,,0.0,,7.3,,
2022-03-24,,,0.0,,7.6,,
2022-03-25,,,0.0,,8.3,,
2022-03-26,,,0.0,,8.4,,
2022-03-27,,,0.0,,10.0,,
2022-03-28,,,0.0,,11.6,,
2022-03-29,,,0.2,,10.4,,
2022-03-30,,,4.0,,7.5,,
2022-03-31,,,2.0,,5.5,,
2022-04-01,,,9.6,,1.7,,
2022-04-02,,,0.5,,0.1,,
2022-04-03,,,0.0,,0.4,,
2022-04-04,,,0.1,,2.0,,
2022-04-05,,,0.9,,6.4,,
2022-04-06,,,0.1,,10.5,,
2022-04-07,,,1.3,,10.7,,
2022-04-08,,,22.3,,5.3,,
2022-04-09,,,0.1,,3.5,,
2022-04-10,,,0.0,,3.9,,
2022-04-11,,,0.0,,6.1,,
2022-04-12,,,0.0,,11.0,,
2022-04-13,,,0.0,,13.4,,
2022-04-14,,,0.1,,13.5,,
2022-04-15,,,0.0,,12.2,,
2022-04-16,,,0.0,,8.4,,
2022-04-17,,,0.0,,7.4,,
2022-04-18,,,0.0,,9.0,,
2022-04-19,,,0.0,,8.3,,
